location,x,y
HOUA103DC1,3102195.45064,13950286.4555
HOUA104DC1,3061449.00745,14012856.5086
HOUA105DC1,3096831.47282,14068974.6199
HOUA111DC1,3160276.44801,13907216.3123
HOUA112DC1,3243903.10655,13960154.7196
HOUA113DC1,3070717.95053,13916775.6825
HOUA114DC1,3176653.7683,13998833.9338
HOUA122DC1,3131723.54452,14003048.4524
HOUA125DC1,3109973.73162,13954566.4505
HOUA126DC1,3041463.90907,13902339.8445
HOUA132DC1,3068424.21273,13971006.5038
HOUA134DC1,3017674.9739,13968416.7531
HOUA135DC1,3154876.87711,14073834.6253
HOUA147DC1,3116470.11109,13898553.0764
